Date,Away,Score,Home,Score
2017,Yarmouth-Dennis,7,Brewster,4
2017,Cotuit,3,Falmouth,6
2017,Orleans,17,Hyannis,3
2017,Bourne,6,Wareham,4
2017,Harwich,2,Chatham,3
2017,Hyannis,8,Cotuit,11
2017,Chatham,3,Harwich,7
2017,Yarmouth-Dennis,0,Wareham,4
2017,Brewster,1,Orleans,5
2017,Falmouth,13,Bourne,3
2017,Orleans,3,Brewster,0
2017,Bourne,6,Falmouth,4
2017,Harwich,5,Hyannis,4
2017,Cotuit,2,Wareham,0
2017,Yarmouth-Dennis,0,Chatham,4
2017,Falmouth,3,Cotuit,5
2017,Hyannis,4,Yarmouth-Dennis,0
2017,Brewster,7,Harwich,6
2017,Wareham,4,Bourne,2
2017,Chatham,3,Orleans,4
2017,Harwich,3,Brewster,7
2017,Cotuit,9,Falmouth,3
2017,Yarmouth-Dennis,3,Hyannis,1
2017,Bourne,2,Wareham,13
2017,Orleans,2,Chatham,4
2017,Chatham,0,Cotuit,0
2017,Orleans,0,Yarmouth-Dennis,0
2017,Falmouth,0,Hyannis,0
2017,Bourne,0,Harwich,0
2017,Brewster,0,Wareham,0
2017,Chatham,9,Yarmouth-Dennis,5
2017,Brewster,8,Harwich,3
2017,Cotuit,7,Bourne,4
2017,Wareham,9,Falmouth,9
2017,Hyannis,2,Orleans,1
2017,Falmouth,0,Brewster,1
2017,Harwich,2,Cotuit,4
2017,Yarmouth-Dennis,3,Wareham,1
2017,Bourne,8,Hyannis,3
2017,Orleans,8,Chatham,2
2017,Hyannis,9,Cotuit,9
2017,Brewster,0,Yarmouth-Dennis,4
2017,Bourne,7,Falmouth,5
2017,Orleans,8,Harwich,3
2017,Chatham,8,Wareham,2
2017,Chatham,10,Cotuit,4
2017,Orleans,7,Yarmouth-Dennis,8
2017,Falmouth,0,Hyannis,0
2017,Bourne,1,Harwich,3
2017,Brewster,1,Wareham,2
2017,Harwich,7,Yarmouth-Dennis,3
2017,Falmouth,4,Orleans,3
2017,Wareham,3,Bourne,4
2017,Cotuit,2,Hyannis,3
2017,Brewster,9,Chatham,3
2017,Bourne,0,Yarmouth-Dennis,0
2017,Brewster,12,Falmouth,3
2017,Cotuit,0,Wareham,0
2017,Hyannis,3,Chatham,1
2017,Harwich,0,Orleans,0
2017,Yarmouth-Dennis,2,Brewster,1
2017,Orleans,5,Cotuit,1
2017,Chatham,4,Bourne,1
2017,Falmouth,6,Hyannis,3
2017,Wareham,3,Harwich,4
2017,Wareham,1,Cotuit,0
2017,Hyannis,3,Yarmouth-Dennis,4
2017,Chatham,3,Harwich,0
2017,Falmouth,1,Bourne,4
2017,Brewster,2,Orleans,4
2017,Harwich,10,Brewster,11
2017,Yarmouth-Dennis,6,Falmouth,5
2017,Cotuit,1,Wareham,4
2017,Orleans,9,Hyannis,3
2017,Bourne,0,Chatham,2
2017,Bourne,3,Cotuit,6
2017,Falmouth,9,Hyannis,3
2017,Harwich,2,Orleans,8
2017,Wareham,10,Hyannis,1
2017,Yarmouth-Dennis,4,Harwich,2
2017,Brewster,3,Chatham,5
2017,Falmouth,0,Orleans,2
2017,Wareham,10,Brewster,3
2017,Hyannis,4,Cotuit,11
2017,Orleans,2,Yarmouth-Dennis,11
2017,Harwich,5,Bourne,7
2017,Chatham,6,Falmouth,7
2017,Orleans,8,Brewster,6
2017,Cotuit,3,Bourne,5
2017,Yarmouth-Dennis,10,Hyannis,0
2017,Falmouth,2,Harwich,1
2017,Chatham,0,Wareham,1
2017,Hyannis,8,Brewster,8
2017,Wareham,4,Yarmouth-Dennis,5
2017,Harwich,1,Falmouth,8
2017,Bourne,2,Orleans,3
2017,Cotuit,12,Chatham,3
2017,Chatham,5,Cotuit,2
2017,Wareham,3,Yarmouth-Dennis,8
2017,Orleans,5,Harwich,0
2017,Falmouth,7,Bourne,8
2017,Brewster,1,Hyannis,2
2017,Cotuit,0,Brewster,9
2017,Bourne,2,Falmouth,6
2017,Hyannis,7,Wareham,4
2017,Yarmouth-Dennis,7,Chatham,2
2017,Harwich,6,Orleans,8
2017,Chatham,7,Brewster,4
2017,Harwich,6,Yarmouth-Dennis,5
2017,Wareham,0,Cotuit,4
2017,Hyannis,1,Falmouth,7
2017,Orleans,3,Bourne,5
2017,Cotuit,0,Hyannis,0
2017,Bourne,4,Harwich,1
2017,Brewster,8,Wareham,7
2017,Yarmouth-Dennis,4,Orleans,2
2017,Falmouth,2,Chatham,4
2017,Chatham,4,Yarmouth-Dennis,2
2017,Brewster,7,Bourne,6
2017,Wareham,1,Falmouth,2
2017,Cotuit,2,Harwich,7
2017,Hyannis,2,Orleans,7
2017,Yarmouth-Dennis,4,Brewster,2
2017,Falmouth,1,Cotuit,2
2017,Bourne,0,Hyannis,5
2017,Orleans,7,Wareham,4
2017,Harwich,4,Chatham,3
2017,Brewster,5,Yarmouth-Dennis,1
2017,Cotuit,2,Falmouth,3
2017,Chatham,1,Harwich,2
2017,Wareham,6,Orleans,5
2017,Hyannis,4,Bourne,2
2017,Cotuit,11,Hyannis,4
2017,Bourne,1,Yarmouth-Dennis,5
2017,Cotuit,2,Wareham,3
2017,Orleans,2,Brewster,6
2017,Bourne,6,Cotuit,8
2017,Harwich,6,Hyannis,8
2017,Falmouth,12,Wareham,1
2017,Yarmouth-Dennis,2,Chatham,4
2017,Yarmouth-Dennis,3,Cotuit,6
2017,Wareham,4,Bourne,13
2017,Falmouth,7,Hyannis,6
2017,Brewster,4,Harwich,7
2017,Chatham,2,Orleans,3
2017,Harwich,10,Brewster,11
2017,Cotuit,4,Yarmouth-Dennis,12
2017,Hyannis,7,Falmouth,9
2017,Bourne,12,Wareham,5
2017,Orleans,6,Chatham,4
2016,Orleans,9,Brewster,4
2016,Wareham,6,Yarmouth-Dennis,3
2016,Hyannis,2,Bourne,3
2016,Cotuit,3,Harwich,8
2016,Falmouth,7,Chatham,4
2016,Brewster,0,Cotuit,0
2016,Falmouth,0,Yarmouth-Dennis,0
2016,Hyannis,4,Harwich,12
2016,Chatham,0,Bourne,0
2016,Wareham,0,Orleans,0
2016,Yarmouth-Dennis,6,Brewster,11
2016,Harwich,3,Falmouth,0
2016,Cotuit,0,Wareham,8
2016,Bourne,5,Hyannis,4
2016,Orleans,2,Chatham,3
2016,Chatham,6,Brewster,14
2016,Cotuit,1,Bourne,10
2016,Wareham,4,Falmouth,5
2016,Yarmouth-Dennis,1,Harwich,9
2016,Hyannis,1,Orleans,6
2016,Bourne,7,Cotuit,5
2016,Chatham,4,Yarmouth-Dennis,3
2016,Falmouth,5,Hyannis,0
2016,Brewster,2,Wareham,3
2016,Harwich,5,Orleans,2
2016,Brewster,3,Cotuit,5
2016,Falmouth,3,Yarmouth-Dennis,0
2016,Chatham,8,Bourne,3
2016,Wareham,7,Orleans,11
2016,Yarmouth-Dennis,10,Brewster,8
2016,Orleans,6,Cotuit,5
2016,Chatham,4,Bourne,12
2016,Hyannis,2,Falmouth,8
2016,Wareham,3,Harwich,2
2016,Cotuit,2,Yarmouth-Dennis,3
2016,Harwich,1,Hyannis,0
2016,Orleans,5,Bourne,9
2016,Falmouth,5,Wareham,6
2016,Brewster,4,Chatham,2
2016,Cotuit,5,Brewster,7
2016,Bourne,1,Yarmouth-Dennis,5
2016,Wareham,4,Hyannis,5
2016,Chatham,5,Falmouth,2
2016,Harwich,0,Orleans,1
2016,Hyannis,5,Cotuit,4
2016,Orleans,5,Wareham,6
2016,Falmouth,0,Harwich,1
2016,Brewster,7,Bourne,2
2016,Yarmouth-Dennis,7,Chatham,0
2016,Harwich,3,Yarmouth-Dennis,0
2016,Brewster,11,Falmouth,6
2016,Bourne,2,Hyannis,5
2016,Chatham,7,Wareham,1
2016,Cotuit,4,Orleans,10
2016,Harwich,7,Cotuit,2
2016,Chatham,5,Yarmouth-Dennis,0
