"name","B"
"Andrew Hague","R"
"Colin Hall","L"
"Jake Hamilton","R"
"Mason Hazelwood","L"
"Dane Kapande","R"
"Haydn King","L"
"Nick Krauth","R"
"Kolby Kubichek","R"
"Ty Madden","R"
"Dawson Merryman","L"
"Zack Miller","R"
"Hueston Morrill","R"
"II, OGuinn","R"
"Jack Owen","L"
"Drenis Ozuna","R"
"Aaron Palensky","R"
"Kaden Polcovich","S"
"Ben Ramirez","L"
"Keaton Rice","L"
"Parker Scott","L"
"Zarion Sharpe","R"
"Brady Smith","R"
"Cooper Swanson","R"
"Alejandro Toral","L"
"Spencer Torkelson","R"
"Austin Vernon","R"
"Anthony Vilar","L"
"Paxton Wallace","R"
"Logan Walters","R"
"Charlie Welch","R"
"Jeremy Wu-Yelland","L"
"Oraj Anu","S"
"Cole Beavin","R"
"Richard Brereton","R"
"Joe Casey","L"
"Parker Chavers","L"
"Harrison Cohen","R"
"Kevin Conley","R"
"Andrew Czech","L"
"Colin Davis","R"
"Mason Dodd","L"
"Matthew Donlan","R"
"Duke Ellis","L"
"ChristopherP Farrell","R"
"Sam Ferri","R"
"Nick Gonzales","R"
"Cameron Hill","L"
"Bo Hofstra","R"
"ChristopherP Holcomb","R"
"Trey Holland","L"
"Grant Holman","R"
"Reid Johnston","L"
"Nick Jones","L"
"Evan Justice","L"
"Coltyn Kessler","L"
"GeonHyoung Kim","L"
"Joey Loperfido","L"
"Allbry Major","S"
"Robert Martin","L"
"Zachary McCambley","L"
"Mason McWhorter","L"
"Matthew Mervis","L"
"Matt Moore","R"
"Joseph Nahas","R"
"Jacob Nemith","R"
"Kyle Nicolas","R"
"Casey Opitz","S"
"Adam Oviedo","R"
"Cody Pasic","L"
"Holden Powell","R"
"Kole Ramage","R"
"Daniel Ritcheson","R"
"Christian Robinson","L"
"Casey Schmitt","R"
"Sean Sullivan","S"
"Ronald Sweeny","L"
"Nick Swiney","R"
"Christopher Troye","R"
"Joey Walsh","L"
"Beck Way","R"
"Camryn Williams","S"
"Donta Williams","L"
"Jackson Wolf","L"
"Robert Ahlstrom","L"
"Franco Aleman","R"
"Ryan Berardino","R"
"Brant Brown","R"
"Zachary Brzykcy","R"
"Hayden Cantrelle","S"
"Steven Casey","R"
"Ben Casparius","R"
"Troy Claunch","R"
"Jackson Coutts","L"
"Trei Cruz","S"
"Zach Deloach","L"
"Javin Drake","R"
"Shane Drohan","R"
"Blake Dunn","R"
"Christian Edwards","R"
"Max Ferguson","L"
"Justin Foy","R"
"Jake Frasca","R"
"Thomas Girard","R"
"Chris Gonzalez","L"
"Sean Harrington","L"
"Kenneth Haus","R"
"Logan Hofmann","L"
"Noah Holland","R"
"Maddux Houghton","R"
"Kevin Kendall","L"
"Austin Langworthy","L"
"Bradley Littleton","R"
"Aidan Maldonado","R"
"Austin Masel","L"
"Bryce Miller","R"
"Carmen Mlodzinski","R"
"Steven Moretto","R"
"Sean Mullen","R"
"Nick Nastrini","R"
"Matheu Nelson","R"
"Baron Radcliff","L"
"Tyler Ras","S"
"Chris Rinaldi","R"
"Hayden Rosenkrantz","R"
"Tommy Sheehan","L"
"Taylor Smith","R"
"Samuel Strickland","R"
"Luke Sutko","R"
"Tim Tawa","R"
"Noah Thompson","L"
"Michael Turner","L"
"Alex Volpi","R"
"Sam Weatherly","L"
"Justin Wrobleski","L"
"Caleb Wurster","L"
"Cory Acton","L"
"Logan Allen","R"
"Cam Baumann","L"
"Joe Boyle","R"
"Ben Brooks","R"
"Jordan Butler","L"
"Daniel Cabrera","L"
"Brian Dempsey","R"
"Devin Dunn","R"
"Blake Espinal","L"
"Christian Fedko","R"
"Chris Galland","R"
